vessel_name,imo
KARADENIZ LNGT POWERSHIP ANATOLIA,9306495
KARADENIZ LNGT POWERSHIP BLACKSEA,9064073
KARADENIZ LNGT POWERSHIP MARMARA,9064085
KARADENIZ POWERSHIP ARYA SULTAN,9311646
KARADENIZ POWERSHIP AYBERK BEY,9359600
KAREN MAERSK,9423712
KATAGALAN ACE,9950521
KATAGALAN BRAVE,9950533
KEY JOURNEY,9433640
KIM OLDENDORFF,9848998
KIRKUK,9829655
KIRSTEN MAERSK,9431264
KITAURA,9512056
KLARA OLDENDORFF,9849007
KM HAKATA,9659830
KMARIN REGARD,9683063
KMARIN RESOLUTION,9683051
KMARIN RESOURCE,9683037
KMARIN RESPECT,9683001
KMARIN RIGOUR,9683049
KNIDOS M,9354791
KNUT OLDENDORFF,9834387
KS CAMELLIA,9736418
KUFRA,9935155
KYRA,9333280
LA DIGUE,9448724
LADY AMANDA,9913602
LADY OF DORIA,9310812
LADY WYNN,9861794
LAKE DANY,9445021
LAMPARD,9723980
LAVENDER,9463750
LAVIEEN ROSE,9700562
LILAC VICTORIA,9589815
LONE STAR MARINER,9902859
LOWLANDS BLUE,9731200
LOWLANDS DAWN,9789946
LOWLANDS FUTURE,9799771
LOWLANDS HORIZON,9826471
LOWLANDS OPAL,9317559
LOWLANDS RISE,9659828
LOWLANDS SAGE,9909223
LOWLANDS SPIRIT,9870161
LOWLANDS YELLOW,9731212
LUMINA,9690509
LVM AARON,9669926
LVM WARRIOR,9694189
MAERSK ACADIA,9928188
MAERSK ADRIATIC,9636632
MAERSK AEGEAN,9636644
MAERSK BARRY,9299458
MAERSK BEAUFORT,9340594
MAERSK BELFAST,9299446
MAERSK BERING,9299422
MAERSK BISCAYNE,9928190
MAERSK BRIGIT,9340582
MAERSK BRISTOL,9299434
MAERSK CALLAO,9786152
MAERSK CANCUN,9786138
MAERSK CAPRI,9786140
MAERSK CAYMAN,9786164
MAERSK CEBU,9786176
MAERSK CORSICA,9786188
MAERSK CRETE,9786190
MAERSK CURACAO,9786205
MAERSK CYPRUS,9786217
MAERSK EDIRNE,9502867
MAERSK EL BANCO,9964493
MAERSK EL PALOMAR,9964481
MAERSK EMERALD,9502910
MAERSK ENSENADA,9502958
MAERSK ENSHI,9502946
MAERSK ESMERALDAS,9502972
MAERSK EUREKA,9501239
MAERSK EVERGLADES,9928205
MAERSK GLACIER,9928217
MAERSK KALEA,9256298
MAERSK KARA,9374428
MAERSK KATALIN,9431317
MAERSK KATARINA,9431290
MAERSK KATE,9431276
MAERSK KAYA,9431288
MAERSK KIERA,9431305
MAERSK MAGELLAN,9447732
MAERSK MALAGA,9447768
MAERSK MAMMOTH,9928229
MAERSK MARU,9581447
MAERSK MISSISSIPPI,9555319
MAERSK OLYMPIC,9943073
MAERSK REDWOOD,9943085
MAERSK SALTORO,9725706
MAERSK SEQUOIA,9943097
MAERSK TACOMA,9708617
MAERSK TAMPA,9708629
MAERSK TANGIER,9726451
MAERSK TEESPORT,9726463
MAERSK TOKYO,9718076
MAERSK YELLOWSTONE,9943114
MAERSK YOSEMITE,9943102
MAGIC VICTORIA,9608867
MARAN EAGLE,9880879
MARMARIS-M,9450791
MATTERHORN EXPLORER,9847425
MEDITERRANEAN ENERGY PROJECT,8125832
MEGA BENEFIT,9796573
MEGEVE,9746700
MENTOR,9340374
MERSEY,9865752
MESK,9472098
METAGAS EVEREST,9243148
METEOR,9548586
MH ADAGIO,9916977
MH ARPEGGIO,9916965
MH COLUMBIA,9805673
MIA LR,9860879
MIRACLE,9500742
MIRAI,9929871
MOJO,9282431
MOL EARNEST,9333840
MOL ENDOWMENT,9333852
MOL PRESENCE,9444273
MOL PROFICIENCY,9403619
MONAX,9311256
MONTAGU,9289764
MONTROSE,9281695
MOONBRIGHT SW,9610195
MOSEL N,9603415
MOUNTAIN LION,9570852
MSC HOUSTON V,9463281
MSC NIOVI VIII,9290488
N AMALTHIA,9364277
N BONANZA,9342815
NAHIDE M,9116319
NALUHU,9520792
NATTY,9546904
NAVE CONSTELLATION,9515929
NAVE EQUINOX,9351634
NAVE PULSAR,9379313
NAVE QUASAR,9514559
NAVE SYNERGY,9513763
NAVE UNIVERSE,9515931
NAVIOS CORALI,9747948
NAVIOS FELIX,9756743
NAVIOS GEM,9682942
UOG ANDROS,9480162
NCC MAHA,9387683
NCC QAMAR,9387671
NCC YANBU,9458808
NEO,9520948
NEXUS VICTORIA,9610389
NIHAT M,9185815
NIKGENIOUS,9729922
NISSOS HERACLEA,9419618
NOEL II,9406518
NORD AMAZON,9826457
NORD ANTARES,9933224
NORD KARAS,9552991
NORD BELUGA,9727065
NORD BISCAY,9799795
NORD COPPER,9805647
NORD ENERGY,9536155
NORD FERRUM,9587386
NORD HOUSTON,9989297
NORD JEWEL,9814167
NORD JOY,9814179
NORD MAGNES,9588457
NORD MAJESTIC,9902835
NORD MARINER,9941300
NORD MASTER,9941295
NORD MIYABI,9894739
NORD PENGUIN,9687186
NORD POWER,9537848
NORD STEEL,9966233
NORD SUPERIOR,9692129
NORD SUPREME,9692131
NORD SUSTAINABLE,9692143
NORD SWIFT,9692155
NORD VICTOR,9982536
NORD VIGNALE,9982550
NORD VOLANTE,9944144
NORD VULCAN,9982524
NORDIC COPENHAGEN,9796810
NORDIC MARITA,9558402
NORVIC MONIA,9404936
OCCITAN KEY,9302475
OCCITAN PAUILLAC,9483451
OCCITAN SKY,9274355
OCEAN CADENCE,9967122
OCEAN DILIGENCE,9967134
OCEAN DRACO,9755919
OCEAN GLSR,9529516
OCEAN PERA,9712955
OCEANIC DREAM,9367437
OCTONAUT,9340477
OKEE JOHN T,9311036
OKEE ULF,9311048
OM BORNEO,9341445
OM SINGAPORE,9341433
OOCL BRAZIL,9495038
OOCL DURBAN,9567673
OPERA,9804887
ORANGE VICTORIA,9803364
ORCHID KEFALONIA,9363821
ORCHID MADEIRA,9367401
ORCHID SYLT,9367413
PACIFIC ANOUK,9835874
PACIFIC ASSURANCE,9683104
PACIFIC BUSAN,9414125
PACIFIC DIAMOND,9893046
PACIFIC EAST,9522661
PACIFIC EMERALD,9893022
PACIFIC ENDEAVOR,9490325
PACIFIC GARNET,9893084
PACIFIC NINGBO,9339064
PACIFIC NORTH,9604196
PACIFIC OPAL,9893096
PACIFIC PEARL,9893072
PACIFIC RUBY,9893034
PACIFIC SOUTH,9474967
PACIFIC WEST,9604029
PAIWAN ACE,9984405
PAIWAN WISDOM,9427122
PANAGIA THALASSINI,9730335
PATRICIA OLDENDORFF,9464584
PAUL OLDENDORFF,9540871
PELICAN MARINER,9905423
PENELOPE OLDENDORFF,9464596
PERTAMINA GAS 1,9643348
PERTAMINA GAS AMARYLLIS,9895317
PETER OLDENDORFF,9464663
PETITE SOEUR,9448712
PETREL,9908322
PHILIPP OLDENDORFF,9540869
PHOENICIAN M,9450806
PHOENIX GAIA,9850367
PIA OLDENDORFF,9464675
PICO BASILE,9776250
PIS PRECIOUS,9689158
PIS PROLIFIC,9525211
PLANET PEARL,9307140
PLATINUM JUBILEE,9941271
POAVOSA ACE,9668362
POAVOSA BRAVE,9519195
POAVOSA WISDOM,9515644
POAVOSA WISDOM III,9580314
POAVOSA WISDOM VI,9589724
POAVOSA WISDOM VII,9633276
POAVOSA WISDOM VIII,9641924
POINT LISAS,9905162
PRECIOUS ADELAIDE,9982548
PREM PRIDE,9167203
PRIMA ENERGY,9232515
PRIME STAR,9612284
PRINCESS ETERNITY,9920681
PRINCESS SAPPHIRE,9229647
PRO JADE,9257711
PRO ONYX,9862413
PRO SAPPHIRE,9274484
PRO TRIUMPH,9404948
PROTOSTAR N,9360257
PUSAKA BORNEO,9783904
PUSAKA JAVA,9783899
PVT SOLANA,9391531
PVT VALENCIA,9367748
QUEEN OF DORIA,9400801
RAS MAERSK,9236999
REDWOOD MARINER,9902861
RIDGEBURY GALILEO,9327449
RISHIRI GALAXY,9950284
RIVAL,9361469
ROBERT MAERSK,9237008
ROMOE MAERSK,9251406
ROSANNA,9968358
ROTTERDAM BRIDGE,9224324
SAAR N,9603427
SAKIZAYA ACE,9656400
SAKIZAYA CHAMPION,9680360
SAKIZAYA JUSTICE,9749893
SAKIZAYA RESPECT,9783150
SAKIZAYA UNICORN,9892676
SAKIZAYA XCEL,9934917
SAKURA SHUCHI,9330783
SAKURA SPIRIT,9543079
SAKURA VOYAGER,9919151
SALVINIA,9524815
SANANA,9746061
SANGGAU,9746059
SANTIAGO I,9730347
SARAH H,9858539
SATIGNY,9875604
SCARLET EAGLE,9687693
SDTR ALICE,9877834
SDTR CELESTE,9877858
SDTR DORIS,9877860
SDTR ERICA,9877872
SDTR FAITH,9877884
SDTR GLORIA,9877896
SDTR HERA,9877901
SEA ALTUS,9724570
SEA CAELUM,9724582
SEA CIRRUS,9724568
SEA CUMULUS,9724532
SEA DUCK,9443839
SEA FRACTUS,9724609
SEA NAVIGATOR,9724594
SEA NIMBUS,9724544
SEA STRATUS,9724556
SEA TREK,9281566
SEASON TRADER,9956886
SEASTAR AVALON,9755921
SEAUNITY,9445772
SELIN M,9178551
SELINA H,9858515
SEMIHA AHMET M,9381873
SERIFOS,9410399
SERVETTE,9875616
SEVERN,9859234
SHANDONG FU REN,9748784
SHANDONG FU XIN,9748813
SHANDONG FU YI,9748801
SHENG LI,9181041
SILVERSTONE,9878838
SINAR MINAHASA,9433860
SN SERENITY,9736420
SOPHIE OLDENDORFF,9478834
SOUTHERN GLORY,9783942
SOUTHERN HAWK,9858527
SOUTHERN LEADER,9783930
